[04:44:40] [ServerMain/INFO]: Environment: Environment[sessionHost=https://sessionserver.mojang.com, servicesHost=https://api.minecraftservices.com, name=PROD]
[04:44:44] [ServerMain/INFO]: Loaded 1290 recipes
[04:44:45] [ServerMain/INFO]: Loaded 1399 advancements
[04:44:46] [Server thread/INFO]: Starting minecraft server version 1.21.1
[04:44:46] [Server thread/INFO]: Loading properties
[04:44:46] [Server thread/INFO]: Default game type: SURVIVAL
[04:44:46] [Server thread/INFO]: Generating keypair
[04:44:46] [Server thread/INFO]: Starting Minecraft server on *:25565
[04:44:46] [Server thread/INFO]: Using epoll channel type
[04:44:46] [Server thread/WARN]: **** SERVER IS RUNNING IN OFFLINE/INSECURE MODE!
[04:44:46] [Server thread/WARN]: The server will make no attempt to authenticate usernames. Beware.
[04:44:46] [Server thread/WARN]: While this makes the game possible to play without internet access, it also opens up the ability for hackers to connect with any username they choose.
[04:44:46] [Server thread/WARN]: To change this, set "online-mode" to "true" in the server.properties file.
[04:44:46] [Server thread/INFO]: Preparing level "world"
[04:44:55] [Server thread/INFO]: Preparing start region for dimension minecraft:overworld
[04:44:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[04:44:55] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[04:44:56] [Worker-Main-1/INFO]: Preparing spawn area: 0%
[04:44:56] [Server thread/INFO]: Time elapsed: 1150 ms
[04:44:56] [Server thread/INFO]: Done (10.016s)! For help, type "help"
[04:45:16] [Server thread/INFO]: juank18sv[/127.53.75.47:33091] logged in with entity id 5 at (915.5, 69.0, -231.5)
[04:45:16] [Server thread/INFO]: juank18sv joined the game
[04:45:33] [Server thread/INFO]: Whiter_YT2[/127.67.67.94:45839] logged in with entity id 366 at (919.9339794559974, 69.0, -250.42514374544345)
[04:45:33] [Server thread/INFO]: Whiter_YT2 joined the game
[04:48:58] [Server thread/INFO]: Whiter_YT2 has made the advancement [What a Deal!]
[04:57:42] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=913, y=64, z=-287} jd{x=913, y=62, z=-287}
[04:57:42] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=913, y=64, z=-287} jd{x=913, y=62, z=-287}
[04:57:42] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=914, y=64, z=-287} jd{x=914, y=62, z=-287}
[04:57:42] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=915, y=63, z=-287} jd{x=914, y=62, z=-287}
[04:57:42] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=915, y=63, z=-287} jd{x=914, y=62, z=-287}
[04:57:42] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=915, y=64, z=-287} jd{x=914, y=62, z=-287}
[04:57:43] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=916, y=64, z=-287} jd{x=917, y=62, z=-287}
[04:57:43] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=918, y=64, z=-288} jd{x=919, y=62, z=-288}
[04:57:43] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=918, y=64, z=-288} jd{x=919, y=62, z=-288}
[04:57:44] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=919, y=64, z=-289} jd{x=920, y=62, z=-290}
[04:57:45] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=919, y=64, z=-292} jd{x=919, y=61, z=-295}
[04:57:45] [Server thread/WARN]: Mismatch in destroy block pos: jd{x=919, y=64, z=-291} jd{x=917, y=61, z=-291}
[05:07:53] [Server thread/INFO]: Whiter_YT2 has made the advancement [Suit Up]
[05:09:27] [Server thread/INFO]: Whiter_YT2 has made the advancement [Not Today, Thank You]
[05:35:07] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 8.396482847615061,0.0,-10.171558434818053
[05:35:07] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 8.614952423379691,0.0,-10.503368235634298
[05:35:07] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 8.826417040874276,0.0,-10.839141560396001
[05:35:07] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 9.030819211275912,0.0,-11.178776030447352
[05:35:07] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 9.228177286913478,0.0,-11.522137144725093
[05:35:07] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 9.418572362789973,0.0,-11.869068011256786
[05:35:07] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 9.602136052093556,0.0,-12.219397271046091
[05:35:07] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 9.779042799666058,0.0,-12.572944389275563
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 1.9323034141643802,0.0,-10.165837583154826
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 2.032439511976463,0.0,-10.552519614436278
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 2.1334336398890628,0.0,-10.939027685039036
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 2.2352184471658347,0.0,-11.325373971902991
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 2.3377296254516295,0.0,-11.711570477355963
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 2.4409129843345454,0.0,-12.097626945509091
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 2.544712372645108,0.0,-12.483554239676323
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 2.64908094236921,0.0,-12.86936107885731
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 2.7539728403955905,0.0,-13.255056356957994
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 2.859343110887721,0.0,-13.64064912902495
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 2.9651549797683856,0.0,-14.026146490343308
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 3.071371661400235,0.0,-14.411555873476118
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 3.177960050573347,0.0,-14.796883971454463
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 3.284890350736987,0.0,-15.182136804281981
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 3.3921320578899667,0.0,-15.567320844218102
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 3.4996614046067407,0.0,-15.952440858314276
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 3.607453314030181,0.0,-16.33750219489866
[05:36:41] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 3.7154852151265914,0.0,-16.72250966374122
[05:36:41] [Server thread/WARN]: Can't keep up! Is the server overloaded? Running 2078ms or 41 ticks behind
[05:39:25] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! -0.5659312995676373,0.0,-10.384582615937688
[05:39:25] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! -0.5877021289907134,0.0,-10.783989572097198
[05:39:25] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! -0.6094730512509159,0.0,-11.18339652677787
[05:39:25] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! -0.6312440570645776,0.0,-11.58280348012795
[05:39:25] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! -0.6530151380763982,0.0,-11.982210432281136
[05:39:25] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! -0.6747862867666754,0.0,-12.38161738335657
[05:39:25] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! -0.6965574963674044,0.0,-12.781024333462483
[05:39:25] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! -0.7183287607874718,0.0,-13.180431282695281
[05:39:25] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! -0.7401000745451256,0.0,-13.579838231142276
[05:39:25] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! -0.7618714327065845,0.0,-13.979245178882593
[05:39:25] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! -0.7836428308312406,0.0,-14.378652125986264
[05:39:25] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! -0.8054142649230016,0.0,-14.778059072516953
[05:39:25] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! -0.8271857313850433,0.0,-15.177466018531959
[05:46:31] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 7.591983990201243,2.483003811448725E-7,-6.698270458533443
[05:46:31] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 7.692924452564512,2.3535084636705506E-7,-7.057956840340012
[05:46:31] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 7.778718426882278,2.2051873571626857E-7,-7.42135420325576
[05:46:31] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 7.849688502020399,2.0549168056049893E-7,-7.787921389579424
[05:46:31] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 7.906247513191829,1.9155140762450173E-7,-8.157157469509912
[05:46:31] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 7.948877422697024,1.7957004416757627E-7,-8.528605008749764
[05:46:31] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 7.978113989920985,1.7004094132744285E-7,-8.901851806076593
[05:46:31] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 7.9945255195593745,1.6313291695269072E-7,-9.27652907832271
[05:46:39] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 0.8500156965828864,0.0,-10.29956400627907
[05:46:39] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 0.8631308006106337,0.0,-10.698195961074816
[05:46:39] [Server thread/WARN]: Oak Boat (vehicle of Whiter_YT2) moved too quickly! 0.8817124054871783,0.0,-11.096386258091115
[05:51:18] [Server thread/INFO]: Whiter_YT2 was slain by Zombie
[05:52:30] [Server thread/INFO]: Whiter_YT2 lost connection: Disconnected
[05:52:30] [Server thread/INFO]: Whiter_YT2 left the game
